ref_id,name,tier,tier_label,cluster,cluster_name,group,applicability,family,layer,ai_substrate,cadence,pipeline_layer,assurance_question,measurement_method,lifecycle_phases,responsible_actors,maturity,source,group_file,heading_line
TP.ASR-4,Demographic-Disaggregated WER,1,Minimum Viable,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,Demographic Equity Disaggregation,Detection,AI-Substrate,Periodic audit,ASR / Transcription,Fairness & Equity,Computational,"Pre-deployment, Periodic Audit","Vendor, National Body",Emerging,[NAS-Day-Zero-SPI-internal]; [NHSE-IG-Guidance-2026-03],tp/asr-transcription.md,225
TP.ASR-5,Speaker-Stratified WER,3,Advanced / Research,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,Demographic Equity Disaggregation,Detection,AI-Substrate,Periodic audit,ASR / Transcription,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit",Vendor,Proposed / Novel,[OxonFair-2024] (extension analysis; future work),tp/asr-transcription.md,300
TP.ASR-6,Error Transmission Rate,2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Detection,AI-Substrate,Periodic audit,ASR + Summarisation,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit",Vendor,Emerging,"Anderson et al., Mayo Clinic Proceedings Digital Health, 2025 (OHSU 5-platform study found 19.5% transmission rate)",tp/asr-transcription.md,345
TP.ASR-7,Real-Time Factor (RTF),2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Detection,AI-Substrate,Continuous,ASR / Transcription,Operational,Computational,"Pre-deployment, Continuous",Vendor,Established,Standard ASR performance metric,tp/asr-transcription.md,383
TP.ASR-8,Character Error Rate (CER),2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Prevention,AI-Substrate,One-off gate; Event-triggered,ASR / Transcription,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,Standard ASR literature,tp/asr-transcription.md,419
TP.ASR-9,Out-of-Vocabulary (OOV) Rate,2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Detection,AI-Substrate,Periodic audit,ASR / Transcription,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,Standard speech recognition literature,tp/asr-transcription.md,476
TP.ASR-10,ASR Confidence Calibration,2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR / Transcription,Safety,Computational,Pre-deployment,Vendor,Emerging,Machine learning calibration literature,tp/asr-transcription.md,516
TP.ASR-11,ASR Confidence Exposure,2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR / Transcription,Safety,Human Review,Pre-deployment,Vendor,Proposed / Novel,Derived from Abridge Linked Evidence architecture; confidence-based routing literature,tp/asr-transcription.md,562
TP.ASR-12,Hallucination-Under-Noise Rate,1,Minimum Viable,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Prevention,AI-Substrate,Periodic audit,ASR / Transcription,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Emerging,[Koenecke-Careless-Whisper-2024]; specific to neural end-to-end ASR architectures,tp/asr-transcription.md,604
TP.ASR-13,Numeric Accuracy,1,Minimum Viable,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Prevention,AI-Substrate,Periodic audit,ASR / Transcription,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Proposed / Novel,Identified as critical gap in clinical ASR evaluation,tp/asr-transcription.md,676
TP.ASR-14,Punctuation & Capitalisation Accuracy,3,Advanced / Research,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR / Transcription,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,Standard ASR post-processing literature,tp/asr-transcription.md,750
TP.DI-1,Diarisation Error Rate (DER),2,Recommended,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Diarisation,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,[Wang-ADS-Eval-2025]; standard diarisation literature,tp/diarisation.md,1
TP.DI-2,Speaker Attribution Accuracy,2,Recommended,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Diarisation,Safety,Computational,Pre-deployment,Vendor,Established,[Wang-ADS-Eval-2025],tp/diarisation.md,59
TP.DI-3,Speaker Count Accuracy,2,Recommended,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Diarisation,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,Standard diarisation evaluation,tp/diarisation.md,103
TP.DI-4,Speaker Boundary Precision,3,Advanced / Research,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Diarisation,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,Standard diarisation literature,tp/diarisation.md,143
TP.DI-5,Speaker Role Identification F1,2,Recommended,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Diarisation,Safety,Computational,Pre-deployment,Vendor,Emerging,[mpathic-Clinical-ASR-Benchmark-2025]; extends standard diarisation,tp/diarisation.md,191
TP.DI-6,Code-Switching Detection Rate,2,Recommended,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR / Transcription,Fairness & Equity,Computational,Pre-deployment,Vendor,Established,[Sitaram-Code-Switching-Survey-2019]; multilingual ASR literature,tp/diarisation.md,233
TP.DI-7,Turn-Taking Accuracy in Overlap,2,Recommended,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR + Diarisation,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,[ACL-SIGDIAL-2023]; standard overlap-aware ASR literature,tp/diarisation.md,273
TP.DI-8,Clinician-Preferred HEWER (cpHEWER),3,Advanced / Research,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR + Diarisation,Safety,Computational,Pre-deployment,"Vendor, Academic",Emerging,[mpathic-Clinical-ASR-Benchmark-2025],tp/diarisation.md,313
TP.DI-9,Addressee Recognition Accuracy,3,Advanced / Research,TP,The Technical Pipeline,Diarisation,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Diarisation,Fidelity & Accuracy,Computational,Pre-deployment,"Vendor, Academic",Proposed / Novel,Multi-party dialogue research; pragmatics literature,tp/diarisation.md,363
TP.SN-1,ROUGE Scores,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Reference-Based Text Similarity,Prevention,AI-Substrate,One-off gate,Summarisation,Fidelity & Accuracy,Computational,Pre-deployment,"Vendor, Academic",Established,[ROUGE-Lin-2004]; inadequacy shown by [Croxford-2025],tp/summarisation-nlp.md,1
TP.SN-2,BERTScore,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Reference-Based Text Similarity,Prevention,AI-Substrate,One-off gate,Summarisation,Fidelity & Accuracy,Computational,Pre-deployment,"Vendor, Academic",Established,[BERTScore-Zhang-2020]; [Croxford-2025],tp/summarisation-nlp.md,72
TP.SN-3,PDSQI-9 (Physician Documentation Quality Instrument),2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Fidelity & Accuracy,Human Review,"Pre-deployment, Periodic Audit","Deployer, Academic",Established,[PDSQI-9]; [Croxford-2025],tp/summarisation-nlp.md,132
TP.SN-4,CREOLA Error Taxonomy Scores,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Human Review,"Pre-deployment, Periodic Audit","Deployer, Vendor",Emerging,[Asgari-Tortus-2025]. Now underpins automated guardrails.,tp/summarisation-nlp.md,174
TP.SN-5,Hallucination Rate,1,Minimum Viable,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Clinical Content Fidelity,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Human Review,"Pre-deployment, Continuous, Periodic Audit","Vendor, Deployer",Emerging,Various; [Asgari-Tortus-2025] reports 1.47% per sentence,tp/summarisation-nlp.md,228
TP.SN-6,Omission Rate,1,Minimum Viable,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Clinical Content Fidelity,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Human Review,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,[Asgari-Tortus-2025] reports 3.45%; [CREOLA-Hallucination-Taxonomy],tp/summarisation-nlp.md,328
TP.SN-7a,Confabulation Detection (Support × Severity),3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Summarisation,Safety,Computational,Continuous,Vendor,Vendor-Proprietary,"[Abridge-Whitepaper-2025] (50,000+ training examples)",tp/summarisation-nlp.md,439
TP.SN-7b,VeriFact Factual Verification,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Summarisation,Safety,LLM-as-Judge,"Continuous, Periodic Audit","Deployer, National Body",Emerging,[Chung-NEJM-AI-2025],tp/summarisation-nlp.md,497
TP.SN-9a,LLM-as-a-Judge (PDSQI-9 Proxy),2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Fidelity & Accuracy,LLM-as-Judge,"Continuous, Periodic Audit","Deployer, National Body",Emerging,[Croxford-2025],tp/summarisation-nlp.md,610
TP.SN-9b,MedHELM LLM-Jury,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Prevention,AI-Substrate,One-off gate,Cross-cutting,Fidelity & Accuracy,LLM-as-Judge,Pre-deployment,"Vendor, National Body",Emerging,[Bedi-Stanford-CRFM-2025],tp/summarisation-nlp.md,654
TP.SN-11,MEDIC Cross-Examination,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,LLM-as-Judge,"Pre-deployment, Periodic Audit","Vendor, Academic",Emerging,[Kanithi-2025],tp/summarisation-nlp.md,698
TP.SN-12,Linked Evidence / Provenance Tracing,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Summarisation,Safety,Computational,Continuous,Vendor,Vendor-Proprietary,architectural pattern; [Abridge-Linked-Evidence] cited as a representative vendor implementation (not an authoritative architectural specification),tp/summarisation-nlp.md,742
TP.SN-13,ADS Evaluation Framework Composite,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Specific,,Prevention,AI-Substrate,One-off gate,Cross-cutting,Fidelity & Accuracy,Hybrid,Pre-deployment,"Academic, Deployer",Emerging,[Wang-ADS-Eval-2025],tp/summarisation-nlp.md,786
TP.SN-14,Template Modification Underspecification Score,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Summarisation,Safety,Computational,Continuous,"Deployer, Vendor",Proposed / Novel,[INSYTE-2025]; [DCB0129] gap,tp/summarisation-nlp.md,830
TP.SN-15,Negation Handling Accuracy,1,Minimum Viable,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Clinical Content Fidelity,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Computational,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,Clinical NLP literature; identified as systematic LLM failure mode,tp/summarisation-nlp.md,874
TP.SN-16,Temporal Accuracy,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,Clinical NLP literature on temporal expression extraction,tp/summarisation-nlp.md,945
TP.SN-17,Temporal Event Ordering Accuracy,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Emerging,[i2b2-2012-Temporal-Challenge]; clinical temporal reasoning literature,tp/summarisation-nlp.md,985
TP.SN-18,Quantifier Preservation,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Fidelity & Accuracy,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,Identified as systematic LLM summarisation failure mode,tp/summarisation-nlp.md,1023
TP.SN-19,Medication Attribute Extraction F1,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Medication Safety Thread,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,[n2c2-Shared-Tasks] (2018 Track 2 ADE & Medication Extraction; best systems reported F1 ~0.94 concept extraction / ~0.96 relation classification / ~0.89 end-to-end),tp/summarisation-nlp.md,1065
TP.SN-20,Uncertainty Marker Preservation,1,Minimum Viable,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Clinical Content Fidelity,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,Clinical NLP hedging/uncertainty literature,tp/summarisation-nlp.md,1106
TP.SN-21,Medication Event Classification,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,Medication Safety Thread,Detection,AI-Substrate,Periodic audit,Summarisation,Safety,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,"[n2c2-Shared-Tasks] (2018 ADE & medication-extraction task framework, extended with action-class taxonomy below)",tp/summarisation-nlp.md,1183
TP.SN-22,Style & Format Consistency,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Summarisation,Human Factors,Computational,"Pre-deployment, Periodic Audit",Vendor,Proposed / Novel,Human factors literature on documentation consistency,tp/summarisation-nlp.md,1224
TP.SN-23,Length Appropriateness,3,Advanced / Research,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Summarisation,Fidelity & Accuracy,Computational,Continuous,"Vendor, Deployer",Proposed / Novel,Identified as quality dimension not captured by accuracy metrics,tp/summarisation-nlp.md,1264
TP.SN-24,Stigmatising Language Replication Rate,2,Recommended,TP,The Technical Pipeline,Summarisation / NLP,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Summarisation,Fairness & Equity,Computational,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,[Himmelstein-Stigmatising-EHR-JAMA-2022],tp/summarisation-nlp.md,1306
TP.CC-1,SNOMED Code Accuracy,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Clinical Coding,Fidelity & Accuracy,Human Review,"Day Zero Baseline, Periodic Audit",Deployer,Established,Standard clinical audit; [NAS-Day-Zero-SPI-internal] baselines,tp/clinical-coding.md,1
TP.CC-2,SNOMED CT Concept Mapping Accuracy,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Clinical Coding,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit",Vendor,Established,[NLP2FHIR-Pipeline]; [John-Snow-Labs-FHIR-Ready-AI]; [MedCAT-Benchmarks],tp/clinical-coding.md,41
TP.CC-3,ICD-10 / ICD-11 Full-Specificity Precision,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Clinical Coding,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit",Vendor,Emerging,[Hybrid-Code-v2-2026]; [WHO-ICD-11],tp/clinical-coding.md,79
TP.CC-4,OPCS-4 Procedure Coding Accuracy,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Clinical Coding,Fidelity & Accuracy,Computational,"Pre-deployment, Periodic Audit",Vendor,Proposed / Novel,[NHS-Digital-OPCS-4]; gap identified in published AVT literature,tp/clinical-coding.md,119
TP.CC-5,dm+d Medication Coding Accuracy,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,Medication Safety Thread,Detection,AI-Substrate,Periodic audit,Clinical Coding,Safety,Computational,"Pre-deployment, Continuous",Vendor,Proposed / Novel,[NHS-BSA-dm-plus-d]; gap identified in published AVT literature,tp/clinical-coding.md,157
TP.CC-6,Code Hallucination Rate,1,Minimum Viable,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Clinical Coding,Safety,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Emerging,[Hybrid-Code-v2-2026] (neuro-symbolic verification approach),tp/clinical-coding.md,198
TP.CC-7,Coding Drift Detection,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Clinical Coding,Safety,Computational,"Day Zero Baseline, Continuous","Regional (ICB), National Body",Emerging,NHS data-integrity risk analysis; US payer countermeasures (E/M upcoding literature); [npj-DM-AI-Coding-Drift-2025] documented 3.0→4.1 diagnoses/encounter post-AVT,tp/clinical-coding.md,255
TP.CC-9,Coding Equity Index,2,Recommended,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,Demographic Equity Disaggregation,Detection,AI-Substrate,Periodic audit,Clinical Coding,Fairness & Equity,Computational,Periodic Audit,"Regional (ICB), National Body",Proposed / Novel,Extension of existing Deployment Equity Index to coding dimension,tp/clinical-coding.md,331
TP.CC-10,HRG / Tariff Impact Attribution,3,Advanced / Research,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Clinical Coding,Meta-evaluation,Hybrid,Periodic Audit,"Regional (ICB), National Body, Academic",Proposed / Novel,Extends [TP.CC-7 Coding Drift Detection](#tp-cc-7) with quasi-experimental causal attribution; NHS PbR / HRG context primary; US wRVU literature provides the methodological precedent,tp/clinical-coding.md,370
TP.CC-11,Code Specificity Index,3,Advanced / Research,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Clinical Coding,Fidelity & Accuracy,Human Review,Periodic Audit,Deployer,Proposed / Novel,[SNOMED-CT] hierarchy semantics; clinical audit methodology,tp/clinical-coding.md,408
TP.CC-12,Code Suggestion Latency,3,Advanced / Research,TP,The Technical Pipeline,Clinical Coding,AVT-Contextualised,,Detection,AI-Substrate,Continuous,Clinical Coding,Operational,Computational,Continuous,Vendor,Established,Standard latency metric,tp/clinical-coding.md,448
TP.WB-1,Write-back Fidelity,1,Minimum Viable,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,PRSB Semantic Completeness & Write-back Fidelity,Prevention,Post-AI,One-off gate; Continuous,Downstream Write-back,Safety,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Emerging,Critical gap - no standardised FHIR R4 write-back in NHS primary care,tp/downstream-write-back.md,1
TP.WB-2,Integration Error Rate,1,Minimum Viable,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,,Detection,Post-AI,Continuous,Downstream Write-back,Operational,Computational,Continuous,"Vendor, Deployer",Established,Standard integration monitoring; IM1 requirements,tp/downstream-write-back.md,78
TP.WB-3,Field Mapping Accuracy,1,Minimum Viable,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,PRSB Semantic Completeness & Write-back Fidelity,Prevention,Post-AI,One-off gate; Continuous,Downstream Write-back,Safety,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Proposed / Novel,Identified as distinct failure mode within write-back,tp/downstream-write-back.md,144
TP.WB-4,Update vs Append Behaviour,1,Minimum Viable,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,,Prevention,Post-AI,One-off gate,Downstream Write-back,Safety,Computational,Pre-deployment,"Vendor, Deployer",Proposed / Novel,Identified as safety-critical EPR integration behaviour,tp/downstream-write-back.md,217
TP.WB-5,Write-back Rollback Capability,2,Recommended,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,,Limitation,Post-AI,One-off gate,Downstream Write-back,Safety,Human Review,Pre-deployment,"Vendor, Deployer",Proposed / Novel,Identified as essential for incident response,tp/downstream-write-back.md,293
TP.WB-6,FHIR R4 Resource Conformance Rate,2,Recommended,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,PRSB Semantic Completeness & Write-back Fidelity,Detection,Post-AI,Continuous,Downstream Write-back,Fidelity & Accuracy,Computational,"Pre-deployment, Continuous",Vendor,Established,[FHIR-UK-Core] R4 validation tooling,tp/downstream-write-back.md,333
TP.WB-7,openEHR Archetype Conformance,3,Advanced / Research,TP,The Technical Pipeline,Downstream Write-back,AVT-Contextualised,,Detection,Post-AI,Continuous,Downstream Write-back,Fidelity & Accuracy,Computational,"Pre-deployment, Continuous",Vendor,Established,[openEHR-Foundation]; [openEHR-Clinical-Knowledge-Manager] archetype library,tp/downstream-write-back.md,374
TP.WB-8,PRSB Semantic Completeness,1,Minimum Viable,TP,The Technical Pipeline,Downstream Write-back,General Healthcare AI,PRSB Semantic Completeness & Write-back Fidelity,Detection,Post-AI,Continuous; Event-triggered,Downstream Write-back,Quality,Computational,"Pre-deployment, Continuous",Vendor; Deployer,Established,[PRSB] Core Information Standard; PRSB Outpatient Letter Standard; PRSB Discharge Summary Standard,tp/downstream-write-back.md,414
PI.PP-1,Speaker-Attributed Transcript Accuracy,3,Advanced / Research,PI,Pipeline Interactions,Partial-Pipeline,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR + Diarisation,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Proposed / Novel,Identified as compound metric gap - neither WER nor DER alone captures this,pi/partial-pipeline.md,1
PI.PP-2,Multi-Party Conversation Robustness,2,Recommended,PI,Pipeline Interactions,Partial-Pipeline,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR + Diarisation,Safety,Computational,Pre-deployment,Vendor,Proposed / Novel,"Identified in NHS consultation pattern analysis - interpreter-mediated, family-present, and MDT consultations are common",pi/partial-pipeline.md,74
PI.PP-3,Information Extraction Yield,3,Advanced / Research,PI,Pipeline Interactions,Partial-Pipeline,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,ASR + Summarisation,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Academic",Proposed / Novel,Identified as structural gap - component metrics don't capture cross-stage information loss,pi/partial-pipeline.md,114
PI.PP-4,Noise-to-Note Resilience,3,Advanced / Research,PI,Pipeline Interactions,Partial-Pipeline,AVT-Specific,,Prevention,AI-Substrate,One-off gate,ASR + Summarisation,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Proposed / Novel,Proposed for pre-deployment testing - NHS clinical environments have variable acoustics,pi/partial-pipeline.md,182
PI.PP-5,Epistemic Status Preservation,3,Advanced / Research,PI,Pipeline Interactions,Partial-Pipeline,AVT-Contextualised,,Detection,AI-Substrate,Periodic audit,Diarisation + Summarisation,Safety,Hybrid,"Pre-deployment, Periodic Audit","Vendor, Deployer",Proposed / Novel,Identified as critical clinical documentation quality dimension not captured by existing metrics,pi/partial-pipeline.md,222
